screen_time,public_profile,location_sharing,two_factor_auth,password_strength,social_platforms,public_posts,app_permissions,data_breach_exposed,risk_label
7,0,1,0,6,5,112,9,1,2
4,0,0,0,4,5,169,12,1,2
13,0,0,0,9,6,165,9,0,2
11,0,0,1,8,4,152,10,0,2
8,1,0,1,10,7,13,2,1,1
13,1,0,0,10,2,31,16,1,2
5,1,1,0,1,4,138,7,1,2
7,0,1,0,2,7,188,2,1,2
10,1,1,1,9,2,145,1,1,2
3,0,0,0,8,4,154,19,0,2
7,1,1,1,3,5,54,4,0,2
11,1,0,0,8,5,181,2,1,2
11,1,0,1,1,1,119,14,0,2
8,0,0,0,10,3,74,2,1,1
5,1,0,1,4,7,20,15,1,2
4,1,1,0,3,6,171,12,1,2
8,0,1,0,6,4,132,5,0,2
8,1,0,0,7,6,86,7,0,1
3,0,1,1,4,1,168,10,1,2
6,1,0,0,7,3,58,14,0,2
5,0,1,1,9,4,88,14,0,1
2,0,1,1,2,2,181,5,1,2
8,1,0,0,3,7,149,18,0,2
12,0,1,0,5,3,82,14,0,2
14,0,0,0,3,5,64,2,1,2
6,0,1,1,8,1,63,12,1,2
2,0,0,0,10,3,70,6,0,0
12,0,0,1,8,7,3,4,1,1
5,0,1,1,8,3,192,13,0,2
1,1,1,0,9,7,142,4,1,2
12,0,0,0,4,5,103,14,1,2
10,0,1,0,5,4,149,16,1,2
6,1,1,0,5,2,174,4,1,2
13,1,0,0,8,5,92,1,0,1
12,1,0,0,7,2,173,13,1,2
9,1,1,1,9,4,141,4,1,2
1,1,0,1,8,3,177,18,1,2
11,1,0,1,2,2,147,6,0,2
11,1,0,0,10,1,177,3,0,1
10,0,1,1,4,1,111,13,1,2
12,0,1,1,6,7,160,16,1,2
12,1,0,1,2,5,118,5,1,2
14,0,1,1,7,4,58,4,1,2
14,0,0,1,3,7,42,8,1,2
14,0,1,0,3,5,11,19,1,2
3,1,0,0,2,5,39,14,0,2
12,1,0,1,8,7,117,7,1,2
7,0,1,1,6,6,19,14,1,2
4,1,0,1,1,5,165,6,1,2
9,0,1,0,1,6,130,12,1,2
3,0,1,0,7,1,155,16,1,2
5,0,0,1,8,1,183,17,1,2
3,0,0,0,5,5,89,13,0,1
7,1,1,0,5,1,93,14,0,2
5,1,0,1,4,4,12,7,0,1
9,1,0,0,6,6,65,14,0,2
7,0,0,0,6,6,36,15,0,1
2,1,0,1,3,5,176,12,0,2
4,0,0,0,9,1,65,17,1,2
9,1,1,0,7,2,35,9,1,2
12,0,1,1,1,7,181,15,1,2
14,0,0,0,7,7,25,12,1,2
2,0,0,0,5,6,74,2,1,1
10,1,0,1,5,5,199,5,1,2
9,1,1,1,2,5,107,13,0,2
10,1,0,1,4,4,167,8,1,2
5,1,1,0,6,3,42,14,0,2
2,0,1,1,10,3,149,15,0,2
4,1,1,0,7,6,147,11,1,2
12,1,0,1,5,7,7,1,1,2
12,0,1,0,9,4,28,3,1,1
7,0,0,1,3,4,39,17,1,2
12,0,1,1,1,4,157,19,1,2
13,1,0,1,4,6,127,14,1,2
8,0,1,1,9,3,83,8,1,2
3,0,0,0,4,7,115,13,0,1
14,0,1,1,2,4,182,3,1,2
1,1,0,1,10,7,143,5,1,1
4,0,0,0,5,1,173,9,0,1
2,1,0,1,3,5,61,6,1,2
8,1,0,0,9,5,6,2,1,1
4,0,1,1,4,7,44,13,0,2
2,0,1,1,6,2,186,5,1,2
14,1,0,1,2,2,183,8,1,2
